"community"	"id_top"	"topic"	"year"	"activity"
"106"	"t1_s5"	"2nd line regimens"	"2008"	"276"
"106"	"t3"	"Diagnostics"	"2000"	"174"
"106"	"t3"	"Diagnostics"	"2002"	"243"
"106"	"t3"	"Diagnostics"	"2003"	"216"
"106"	"t3"	"Diagnostics"	"2005"	"252"
"106"	"t3"	"Diagnostics"	"2006"	"367"
"106"	"t3"	"Diagnostics"	"2007"	"416"
"106"	"t3"	"Diagnostics"	"2008"	"98"
"106"	"t3"	"Diagnostics"	"2010"	"168"
"106"	"t3"	"Diagnostics"	"2011"	"643"
"106"	"t3"	"Diagnostics"	"2012"	"627"
"106"	"t3"	"Diagnostics"	"2013"	"243"
"106"	"t3"	"Diagnostics"	"2014"	"439"
"106"	"t3"	"Diagnostics"	"2015"	"175"
"106"	"t3"	"Diagnostics"	"2016"	"836"
"106"	"t3"	"Diagnostics"	"2017"	"116"
"106"	"t1"	"Drug-related research"	"2001"	"122"
"106"	"t1"	"Drug-related research"	"2008"	"292"
"106"	"t1"	"Drug-related research"	"2009"	"396"
"106"	"t1"	"Drug-related research"	"2010"	"228"
"106"	"t1"	"Drug-related research"	"2014"	"171"
"106"	"t1"	"Drug-related research"	"2015"	"134"
"106"	"t1"	"Drug-related research"	"2016"	"340"
"106"	"t1"	"Drug-related research"	"2017"	"64"
"106"	"t0"	"Molecular typing"	"2010"	"126"
"106"	"t0"	"Molecular typing"	"2013"	"183"
"106"	"t2"	"Operational research"	"2000"	"260"
"106"	"t2"	"Operational research"	"2005"	"79"
"106"	"t2"	"Operational research"	"2007"	"71"
"106"	"t2"	"Operational research"	"2011"	"73"
"106"	"t2"	"Operational research"	"2013"	"124"
"106"	"t1_s0"	"Resistance genes"	"2009"	"296"
"106"	"t5_s5"	"Resistance prevalence"	"2003"	"73"
"106"	"t5_s5"	"Resistance prevalence"	"2011"	"98"
"106"	"t5_s5"	"Resistance prevalence"	"2013"	"130"
"106"	"t5_s5"	"Resistance prevalence"	"2015"	"144"
"106"	"t5_s3"	"Risk factors"	"2013"	"83"
"106"	"t5"	"Treatment optimization"	"1996"	"81"
"106"	"t5"	"Treatment optimization"	"2001"	"288"
"106"	"t5"	"Treatment optimization"	"2003"	"167"
"106"	"t5"	"Treatment optimization"	"2004"	"234"
"106"	"t5"	"Treatment optimization"	"2005"	"59"
"106"	"t5"	"Treatment optimization"	"2006"	"396"
"106"	"t5"	"Treatment optimization"	"2007"	"268"
"106"	"t5"	"Treatment optimization"	"2008"	"268"
"106"	"t5"	"Treatment optimization"	"2009"	"340"
"106"	"t5"	"Treatment optimization"	"2010"	"277"
"106"	"t5"	"Treatment optimization"	"2011"	"159"
"106"	"t5"	"Treatment optimization"	"2012"	"343"
"106"	"t5"	"Treatment optimization"	"2013"	"384"
"106"	"t5"	"Treatment optimization"	"2014"	"383"
"106"	"t5"	"Treatment optimization"	"2015"	"415"
"106"	"t5"	"Treatment optimization"	"2016"	"404"
"106"	"t5"	"Treatment optimization"	"2017"	"86"
"106"	"t5_s2"	"Treatment regimens"	"2003"	"81"
"106"	"t5_s2"	"Treatment regimens"	"2009"	"272"
"106"	"t5_s2"	"Treatment regimens"	"2017"	"73"
"12"	"t1_s5"	"2nd line regimens"	"2011"	"67"
"12"	"t3"	"Diagnostics"	"2005"	"279"
"12"	"t3"	"Diagnostics"	"2011"	"93"
"12"	"t3"	"Diagnostics"	"2012"	"334"
"12"	"t3"	"Diagnostics"	"2013"	"396"
"12"	"t3"	"Diagnostics"	"2016"	"155"
"12"	"t3"	"Diagnostics"	"2017"	"56"
"12"	"t1"	"Drug-related research"	"2001"	"132"
"12"	"t1"	"Drug-related research"	"2011"	"81"
"12"	"t1"	"Drug-related research"	"2013"	"99"
"12"	"t1"	"Drug-related research"	"2015"	"223"
"12"	"t1"	"Drug-related research"	"2016"	"97"
"12"	"t1"	"Drug-related research"	"2017"	"234"
"12"	"t6"	"Immunology"	"2013"	"112"
"12"	"t2"	"Operational research"	"1998"	"434"
"12"	"t2"	"Operational research"	"1999"	"434"
"12"	"t2"	"Operational research"	"2000"	"360"
"12"	"t2"	"Operational research"	"2002"	"174"
"12"	"t2"	"Operational research"	"2004"	"83"
"12"	"t2"	"Operational research"	"2006"	"497"
"12"	"t2"	"Operational research"	"2007"	"513"
"12"	"t2"	"Operational research"	"2008"	"891"
"12"	"t2"	"Operational research"	"2010"	"455"
"12"	"t2"	"Operational research"	"2012"	"568"
"12"	"t2"	"Operational research"	"2013"	"499"
"12"	"t2"	"Operational research"	"2015"	"65"
"12"	"t2"	"Operational research"	"2016"	"310"
"12"	"t2"	"Operational research"	"2017"	"444"
"12"	"t1_s0"	"Resistance genes"	"2013"	"56"
"12"	"t1_s0"	"Resistance genes"	"2015"	"94"
"12"	"t1_s0"	"Resistance genes"	"2017"	"294"
"12"	"t5_s5"	"Resistance prevalence"	"2002"	"99"
"12"	"t5_s5"	"Resistance prevalence"	"2008"	"99"
"12"	"t5_s5"	"Resistance prevalence"	"2015"	"288"
"12"	"t5_s3"	"Risk factors"	"2006"	"59"
"12"	"t5_s3"	"Risk factors"	"2008"	"558"
"12"	"t5_s3"	"Risk factors"	"2010"	"679"
"12"	"t5_s3"	"Risk factors"	"2011"	"180"
"12"	"t5_s3"	"Risk factors"	"2012"	"1033"
"12"	"t5_s3"	"Risk factors"	"2013"	"412"
"12"	"t5_s3"	"Risk factors"	"2016"	"292"
"12"	"t5_s3"	"Risk factors"	"2017"	"69"
"12"	"t5"	"Treatment optimization"	"2000"	"455"
"12"	"t5"	"Treatment optimization"	"2001"	"837"
"12"	"t5"	"Treatment optimization"	"2002"	"97"
"12"	"t5"	"Treatment optimization"	"2003"	"2681"
"12"	"t5"	"Treatment optimization"	"2004"	"1190"
"12"	"t5"	"Treatment optimization"	"2005"	"868"
"12"	"t5"	"Treatment optimization"	"2006"	"2808"
"12"	"t5"	"Treatment optimization"	"2007"	"1341"
"12"	"t5"	"Treatment optimization"	"2008"	"3589"
"12"	"t5"	"Treatment optimization"	"2009"	"1191"
"12"	"t5"	"Treatment optimization"	"2010"	"997"
"12"	"t5"	"Treatment optimization"	"2011"	"3553"
"12"	"t5"	"Treatment optimization"	"2012"	"6857"
"12"	"t5"	"Treatment optimization"	"2013"	"4523"
"12"	"t5"	"Treatment optimization"	"2014"	"1934"
"12"	"t5"	"Treatment optimization"	"2015"	"3384"
"12"	"t5"	"Treatment optimization"	"2016"	"3647"
"12"	"t5"	"Treatment optimization"	"2017"	"1395"
"12"	"t5_s2"	"Treatment regimens"	"2001"	"891"
"12"	"t5_s2"	"Treatment regimens"	"2003"	"863"
"12"	"t5_s2"	"Treatment regimens"	"2004"	"495"
"12"	"t5_s2"	"Treatment regimens"	"2006"	"990"
"12"	"t5_s2"	"Treatment regimens"	"2008"	"1782"
"12"	"t5_s2"	"Treatment regimens"	"2012"	"294"
"12"	"t5_s2"	"Treatment regimens"	"2013"	"324"
"12"	"t5_s2"	"Treatment regimens"	"2016"	"98"
"12"	"t5_s2"	"Treatment regimens"	"2017"	"59"
"126"	"t1_s5"	"2nd line regimens"	"2013"	"73"
"126"	"t1_s5"	"2nd line regimens"	"2017"	"963"
"126"	"t3"	"Diagnostics"	"2002"	"192"
"126"	"t3"	"Diagnostics"	"2007"	"93"
"126"	"t3"	"Diagnostics"	"2008"	"96"
"126"	"t3"	"Diagnostics"	"2009"	"223"
"126"	"t3"	"Diagnostics"	"2010"	"632"
"126"	"t3"	"Diagnostics"	"2012"	"156"
"126"	"t3"	"Diagnostics"	"2014"	"99"
"126"	"t3"	"Diagnostics"	"2015"	"127"
"126"	"t3"	"Diagnostics"	"2017"	"291"
"126"	"t1"	"Drug-related research"	"2004"	"66"
"126"	"t1"	"Drug-related research"	"2010"	"305"
"126"	"t1"	"Drug-related research"	"2011"	"174"
"126"	"t1"	"Drug-related research"	"2012"	"600"
"126"	"t1"	"Drug-related research"	"2013"	"959"
"126"	"t1"	"Drug-related research"	"2015"	"505"
"126"	"t1"	"Drug-related research"	"2016"	"363"
"126"	"t1"	"Drug-related research"	"2017"	"1508"
"126"	"t0"	"Molecular typing"	"2007"	"114"
"126"	"t0"	"Molecular typing"	"2010"	"150"
"126"	"t0"	"Molecular typing"	"2013"	"64"
"126"	"t2"	"Operational research"	"2009"	"152"
"126"	"t2"	"Operational research"	"2010"	"69"
"126"	"t2"	"Operational research"	"2012"	"204"
"126"	"t2"	"Operational research"	"2013"	"67"
"126"	"t2"	"Operational research"	"2016"	"530"
"126"	"t2"	"Operational research"	"2017"	"224"
"126"	"t1_s0"	"Resistance genes"	"2016"	"264"
"126"	"t1_s0"	"Resistance genes"	"2017"	"67"
"126"	"t5_s5"	"Resistance prevalence"	"2013"	"72"
"126"	"t5"	"Treatment optimization"	"2000"	"384"
"126"	"t5"	"Treatment optimization"	"2001"	"88"
"126"	"t5"	"Treatment optimization"	"2008"	"240"
"126"	"t5"	"Treatment optimization"	"2010"	"684"
"126"	"t5"	"Treatment optimization"	"2012"	"471"
"126"	"t5"	"Treatment optimization"	"2013"	"789"
"126"	"t5"	"Treatment optimization"	"2014"	"93"
"126"	"t5"	"Treatment optimization"	"2015"	"1195"
"126"	"t5"	"Treatment optimization"	"2016"	"346"
"126"	"t5"	"Treatment optimization"	"2017"	"271"
"126"	"t5_s2"	"Treatment regimens"	"2000"	"392"
"126"	"t5_s2"	"Treatment regimens"	"2001"	"98"
"126"	"t5_s2"	"Treatment regimens"	"2010"	"300"
"126"	"t5_s2"	"Treatment regimens"	"2012"	"191"
"126"	"t5_s2"	"Treatment regimens"	"2017"	"146"
"127"	"t3"	"Diagnostics"	"2010"	"176"
"127"	"t3"	"Diagnostics"	"2015"	"136"
"127"	"t3"	"Diagnostics"	"2016"	"179"
"127"	"t3"	"Diagnostics"	"2017"	"340"
"127"	"t1"	"Drug-related research"	"1996"	"95"
"127"	"t1"	"Drug-related research"	"2003"	"112"
"127"	"t1"	"Drug-related research"	"2006"	"134"
"127"	"t1"	"Drug-related research"	"2008"	"207"
"127"	"t1"	"Drug-related research"	"2013"	"202"
"127"	"t1"	"Drug-related research"	"2015"	"180"
"127"	"t1"	"Drug-related research"	"2017"	"292"
"127"	"t0"	"Molecular typing"	"2009"	"81"
"127"	"t0"	"Molecular typing"	"2010"	"75"
"127"	"t0"	"Molecular typing"	"2012"	"541"
"127"	"t0"	"Molecular typing"	"2013"	"255"
"127"	"t0"	"Molecular typing"	"2014"	"68"
"127"	"t0"	"Molecular typing"	"2015"	"818"
"127"	"t0"	"Molecular typing"	"2017"	"336"
"127"	"t2"	"Operational research"	"2015"	"128"
"127"	"t2"	"Operational research"	"2016"	"67"
"127"	"t1_s0"	"Resistance genes"	"2015"	"126"
"127"	"t1_s0"	"Resistance genes"	"2017"	"396"
"127"	"t5_s3"	"Risk factors"	"2014"	"74"
"127"	"t5"	"Treatment optimization"	"2009"	"73"
"127"	"t5"	"Treatment optimization"	"2011"	"122"
"127"	"t5"	"Treatment optimization"	"2014"	"474"
"127"	"t5"	"Treatment optimization"	"2015"	"370"
"127"	"t5"	"Treatment optimization"	"2017"	"89"
"139"	"t1_s5"	"2nd line regimens"	"2011"	"237"
"139"	"t3"	"Diagnostics"	"2010"	"193"
"139"	"t3"	"Diagnostics"	"2011"	"71"
"139"	"t3"	"Diagnostics"	"2013"	"644"
"139"	"t3"	"Diagnostics"	"2014"	"181"
"139"	"t3"	"Diagnostics"	"2015"	"184"
"139"	"t3"	"Diagnostics"	"2016"	"430"
"139"	"t3"	"Diagnostics"	"2017"	"138"
"139"	"t1"	"Drug-related research"	"2003"	"128"
"139"	"t1"	"Drug-related research"	"2006"	"1024"
"139"	"t1"	"Drug-related research"	"2007"	"1364"
"139"	"t1"	"Drug-related research"	"2008"	"3594"
"139"	"t1"	"Drug-related research"	"2009"	"3392"
"139"	"t1"	"Drug-related research"	"2010"	"1353"
"139"	"t1"	"Drug-related research"	"2011"	"664"
"139"	"t1"	"Drug-related research"	"2012"	"456"
"139"	"t1"	"Drug-related research"	"2013"	"65"
"139"	"t1"	"Drug-related research"	"2015"	"273"
"139"	"t1"	"Drug-related research"	"2016"	"233"
"139"	"t1"	"Drug-related research"	"2017"	"177"
"139"	"t6"	"Immunology"	"2007"	"59"
"139"	"t0"	"Molecular typing"	"2016"	"180"
"139"	"t1_s6"	"New compounds"	"2006"	"492"
"139"	"t1_s6"	"New compounds"	"2007"	"1244"
"139"	"t1_s6"	"New compounds"	"2008"	"3264"
"139"	"t1_s6"	"New compounds"	"2009"	"3153"
"139"	"t1_s6"	"New compounds"	"2010"	"1447"
"139"	"t1_s6"	"New compounds"	"2011"	"360"
"139"	"t1_s6"	"New compounds"	"2012"	"180"
"139"	"t1_s6"	"New compounds"	"2015"	"196"
"139"	"t2"	"Operational research"	"2010"	"82"
"139"	"t2"	"Operational research"	"2013"	"479"
"139"	"t2"	"Operational research"	"2014"	"82"
"139"	"t2"	"Operational research"	"2015"	"272"
"139"	"t2"	"Operational research"	"2017"	"116"
"139"	"t1_s0"	"Resistance genes"	"2015"	"99"
"139"	"t1_s0"	"Resistance genes"	"2016"	"238"
"139"	"t1_s0"	"Resistance genes"	"2017"	"154"
"139"	"t5_s5"	"Resistance prevalence"	"2011"	"186"
"139"	"t5_s5"	"Resistance prevalence"	"2014"	"190"
"139"	"t5_s3"	"Risk factors"	"2014"	"273"
"139"	"t5_s3"	"Risk factors"	"2015"	"475"
"139"	"t5"	"Treatment optimization"	"2002"	"320"
"139"	"t5"	"Treatment optimization"	"2003"	"197"
"139"	"t5"	"Treatment optimization"	"2005"	"210"
"139"	"t5"	"Treatment optimization"	"2006"	"146"
"139"	"t5"	"Treatment optimization"	"2007"	"130"
"139"	"t5"	"Treatment optimization"	"2008"	"86"
"139"	"t5"	"Treatment optimization"	"2009"	"935"
"139"	"t5"	"Treatment optimization"	"2010"	"134"
"139"	"t5"	"Treatment optimization"	"2011"	"2072"
"139"	"t5"	"Treatment optimization"	"2012"	"920"
"139"	"t5"	"Treatment optimization"	"2013"	"180"
"139"	"t5"	"Treatment optimization"	"2014"	"1166"
"139"	"t5"	"Treatment optimization"	"2015"	"989"
"139"	"t5"	"Treatment optimization"	"2016"	"515"
"139"	"t5"	"Treatment optimization"	"2017"	"97"
"139"	"t5_s2"	"Treatment regimens"	"2003"	"81"
"139"	"t5_s2"	"Treatment regimens"	"2008"	"78"
"139"	"t5_s2"	"Treatment regimens"	"2009"	"177"
"139"	"t5_s2"	"Treatment regimens"	"2011"	"696"
"139"	"t5_s2"	"Treatment regimens"	"2012"	"574"
"139"	"t5_s2"	"Treatment regimens"	"2017"	"74"
"145"	"t3"	"Diagnostics"	"2008"	"96"
"145"	"t3"	"Diagnostics"	"2009"	"75"
"145"	"t3"	"Diagnostics"	"2011"	"365"
"145"	"t3"	"Diagnostics"	"2016"	"414"
"145"	"t1"	"Drug-related research"	"2011"	"63"
"145"	"t1"	"Drug-related research"	"2013"	"365"
"145"	"t1"	"Drug-related research"	"2014"	"124"
"145"	"t1"	"Drug-related research"	"2015"	"112"
"145"	"t6"	"Immunology"	"2015"	"112"
"145"	"t0"	"Molecular typing"	"2014"	"342"
"145"	"t2"	"Operational research"	"2007"	"234"
"145"	"t2"	"Operational research"	"2009"	"159"
"145"	"t2"	"Operational research"	"2011"	"265"
"145"	"t2"	"Operational research"	"2013"	"455"
"145"	"t2"	"Operational research"	"2014"	"154"
"145"	"t2"	"Operational research"	"2015"	"114"
"145"	"t2"	"Operational research"	"2016"	"563"
"145"	"t2"	"Operational research"	"2017"	"428"
"145"	"t1_s0"	"Resistance genes"	"2013"	"320"
"145"	"t5_s3"	"Risk factors"	"2010"	"845"
"145"	"t5_s3"	"Risk factors"	"2012"	"594"
"145"	"t5_s3"	"Risk factors"	"2014"	"158"
"145"	"t5"	"Treatment optimization"	"1999"	"95"
"145"	"t5"	"Treatment optimization"	"2004"	"183"
"145"	"t5"	"Treatment optimization"	"2007"	"58"
"145"	"t5"	"Treatment optimization"	"2010"	"1355"
"145"	"t5"	"Treatment optimization"	"2011"	"842"
"145"	"t5"	"Treatment optimization"	"2012"	"1465"
"145"	"t5"	"Treatment optimization"	"2013"	"1335"
"145"	"t5"	"Treatment optimization"	"2014"	"416"
"145"	"t5"	"Treatment optimization"	"2015"	"1065"
"145"	"t5"	"Treatment optimization"	"2016"	"1097"
"145"	"t5"	"Treatment optimization"	"2017"	"913"
"145"	"t5_s2"	"Treatment regimens"	"2004"	"88"
"145"	"t5_s2"	"Treatment regimens"	"2012"	"138"
"145"	"t5_s2"	"Treatment regimens"	"2013"	"972"
"145"	"t5_s2"	"Treatment regimens"	"2015"	"183"
"145"	"t5_s2"	"Treatment regimens"	"2016"	"236"
"145"	"t5_s2"	"Treatment regimens"	"2017"	"285"
"17"	"t3"	"Diagnostics"	"2010"	"142"
"17"	"t3"	"Diagnostics"	"2015"	"469"
"17"	"t3"	"Diagnostics"	"2016"	"439"
"17"	"t3"	"Diagnostics"	"2017"	"93"
"17"	"t1"	"Drug-related research"	"2012"	"553"
"17"	"t1"	"Drug-related research"	"2013"	"360"
"17"	"t1"	"Drug-related research"	"2015"	"126"
"17"	"t1"	"Drug-related research"	"2017"	"140"
"17"	"t0"	"Molecular typing"	"2010"	"158"
"17"	"t0"	"Molecular typing"	"2015"	"180"
"17"	"t2"	"Operational research"	"2002"	"87"
"17"	"t2"	"Operational research"	"2012"	"356"
"17"	"t2"	"Operational research"	"2013"	"93"
"17"	"t2"	"Operational research"	"2014"	"237"
"17"	"t2"	"Operational research"	"2016"	"300"
"17"	"t2"	"Operational research"	"2017"	"246"
"17"	"t1_s0"	"Resistance genes"	"2012"	"490"
"17"	"t5_s3"	"Risk factors"	"2015"	"297"
"17"	"t5"	"Treatment optimization"	"2004"	"171"
"17"	"t5"	"Treatment optimization"	"2005"	"236"
"17"	"t5"	"Treatment optimization"	"2006"	"308"
"17"	"t5"	"Treatment optimization"	"2007"	"190"
"17"	"t5"	"Treatment optimization"	"2008"	"91"
"17"	"t5"	"Treatment optimization"	"2011"	"91"
"17"	"t5"	"Treatment optimization"	"2012"	"187"
"17"	"t5"	"Treatment optimization"	"2013"	"175"
"17"	"t5"	"Treatment optimization"	"2014"	"405"
"17"	"t5"	"Treatment optimization"	"2015"	"356"
"17"	"t5"	"Treatment optimization"	"2016"	"330"
"17"	"t5"	"Treatment optimization"	"2017"	"259"
"17"	"t5_s2"	"Treatment regimens"	"2008"	"98"
"17"	"t5_s2"	"Treatment regimens"	"2012"	"82"
"24"	"t1_s5"	"2nd line regimens"	"2011"	"268"
"24"	"t1_s5"	"2nd line regimens"	"2014"	"279"
"24"	"t1_s5"	"2nd line regimens"	"2015"	"99"
"24"	"t1_s5"	"2nd line regimens"	"2016"	"300"
"24"	"t3"	"Diagnostics"	"2002"	"136"
"24"	"t3"	"Diagnostics"	"2007"	"198"
"24"	"t3"	"Diagnostics"	"2008"	"99"
"24"	"t3"	"Diagnostics"	"2012"	"195"
"24"	"t3"	"Diagnostics"	"2015"	"71"
