id_top,topic,keyword,number,normal,max
t0,Molecular typing,spoligotyping,19,100,19
t0,Molecular typing,multidrug-resistant,14,73,19
t0,Molecular typing,miru-vntr,11,57,19
t0,Molecular typing,drug-resistance,10,52,19
t0,Molecular typing,xdr-tb,9,47,19
t0,Molecular typing,molecular epidemiology,7,36,19
t0,Molecular typing,pyrazinamide,7,36,19
t0,Molecular typing,beijing genotype,6,31,19
t0,Molecular typing,genotyping,6,31,19
t0,Molecular typing,transmission,5,26,19
t0,Molecular typing,pnca,5,26,19
t0,Molecular typing,is6110-rflp,4,21,19
t0,Molecular typing,outbreak,4,21,19
t0,Molecular typing,rpob,4,21,19
t0,Molecular typing,brazil,3,15,19
t0,Molecular typing,resistance,3,15,19
t0,Molecular typing,dot,3,15,19
t0,Molecular typing,bedaquiline,3,15,19
t0,Molecular typing,kazakhstan,2,10,19
t0,Molecular typing,genetic diversity,2,10,19
t1,Drug-related research,drug-resistance,67,100,67
t1,Drug-related research,xdr-tb,54,80,67
t1,Drug-related research,multidrug-resistant,54,80,67
t1,Drug-related research,antimycobacterial,43,64,67
t1,Drug-related research,activity,41,61,67
t1,Drug-related research,anti-tb,39,58,67
t1,Drug-related research,rifampicin,30,44,67
t1,Drug-related research,rpob,30,44,67
t1,Drug-related research,resistance,30,44,67
t1,Drug-related research,isoniazid,28,41,67
t1,Drug-related research,drugs,24,35,67
t1,Drug-related research,fluoroquinolones,15,22,67
t1,Drug-related research,pyrazinamide,14,20,67
t1,Drug-related research,mutations,14,20,67
t1,Drug-related research,second-line drugs,13,19,67
t1,Drug-related research,rifampicin resistance,13,19,67
t1,Drug-related research,gene,13,19,67
t1,Drug-related research,katg,12,17,67
t1,Drug-related research,pharmacokinetics,11,16,67
t1,Drug-related research,spoligotyping,11,16,67
t2,Operational research,xdr-tb,52,100,52
t2,Operational research,drug-resistance,40,76,52
t2,Operational research,multidrug-resistant,33,63,52
t2,Operational research,epidemiology,26,50,52
t2,Operational research,treatment,24,46,52
t2,Operational research,drugs,19,36,52
t2,Operational research,drug-resistant tb,19,36,52
t2,Operational research,hiv,17,32,52
t2,Operational research,children,15,28,52
t2,Operational research,surveillance,12,23,52
t2,Operational research,disease,11,21,52
t2,Operational research,infection control,10,19,52
t2,Operational research,transmission,10,19,52
t2,Operational research,diagnosis,9,17,52
t2,Operational research,south-africa,8,15,52
t2,Operational research,health-care workers,8,15,52
t2,Operational research,public health,7,13,52
t2,Operational research,resistance,7,13,52
t2,Operational research,control,7,13,52
t2,Operational research,dots,7,13,52
t3,Diagnostics,drug-resistance,29,100,29
t3,Diagnostics,rifampicin,27,93,29
t3,Diagnostics,xpert mtb/rif,27,93,29
t3,Diagnostics,multidrug-resistant,26,89,29
t3,Diagnostics,genotype mtbdrplus,18,62,29
t3,Diagnostics,isoniazid,18,62,29
t3,Diagnostics,dst,18,62,29
t3,Diagnostics,xdr-tb,16,55,29
t3,Diagnostics,line probe assay,16,55,29
t3,Diagnostics,diagnosis,16,55,29
t3,Diagnostics,rifampicin resistance,16,55,29
t3,Diagnostics,resistance,12,41,29
t3,Diagnostics,rpob,12,41,29
t3,Diagnostics,molecular diagnosis,9,31,29
t3,Diagnostics,mods,8,27,29
t3,Diagnostics,drug-resistant tb,8,27,29
t3,Diagnostics,pulmonary tb,6,20,29
t3,Diagnostics,second-line drugs,5,17,29
t3,Diagnostics,sensitivity,5,17,29
t3,Diagnostics,sensitivity and specificity,5,17,29
t5,Treatment optimization,drug-resistance,117,100,117
t5,Treatment optimization,multidrug-resistant,113,96,117
t5,Treatment optimization,xdr-tb,65,55,117
t5,Treatment optimization,hiv,56,47,117
t5,Treatment optimization,treatment outcomes,55,47,117
t5,Treatment optimization,treatment,43,36,117
t5,Treatment optimization,drug-resistant tb,37,31,117
t5,Treatment optimization,risk-factors,33,28,117
t5,Treatment optimization,epidemiology,28,23,117
t5,Treatment optimization,outcomes,26,22,117
t5,Treatment optimization,resistance,23,19,117
t5,Treatment optimization,drugs,22,18,117
t5,Treatment optimization,pulmonary tb,21,17,117
t5,Treatment optimization,dst,21,17,117
t5,Treatment optimization,south-africa,18,15,117
t5,Treatment optimization,linezolid,17,14,117
t5,Treatment optimization,second-line drugs,15,12,117
t5,Treatment optimization,india,15,12,117
t5,Treatment optimization,treatment failure,14,11,117
t5,Treatment optimization,children,14,11,117
t6,Immunology,multidrug-resistant,7,100,7
t6,Immunology,interferon-gamma,6,85,7
t6,Immunology,cytokines,5,71,7
t6,Immunology,antibiotic,4,57,7
t6,Immunology,immunotherapy,4,57,7
t6,Immunology,spray drying,4,57,7
t6,Immunology,drugs,4,57,7
t6,Immunology,t cells,3,42,7
t6,Immunology,biomarkers,3,42,7
t6,Immunology,tumor necrosis factor-alpha,3,42,7
t6,Immunology,ifn-gamma,3,42,7
t6,Immunology,il-10,3,42,7
t6,Immunology,tnf-alpha,3,42,7
t6,Immunology,delivery,3,42,7
t6,Immunology,il-12,3,42,7
t6,Immunology,ethionamide,3,42,7
t6,Immunology,fluoroquinolones,2,28,7
t6,Immunology,peg,2,28,7
t6,Immunology,pulmonary tb,2,28,7
t6,Immunology,functionality,2,28,7
t1_s0,Resistance genes,drug-resistance,15,100,15
t1_s0,Resistance genes,rpob,13,86,15
t1_s0,Resistance genes,katg,8,53,15
t1_s0,Resistance genes,resistance,8,53,15
t1_s0,Resistance genes,rifampicin,7,46,15
t1_s0,Resistance genes,multidrug-resistant,6,40,15
t1_s0,Resistance genes,xdr-tb,5,33,15
t1_s0,Resistance genes,isoniazid,4,26,15
t1_s0,Resistance genes,rifampicin resistance,4,26,15
t1_s0,Resistance genes,gene,4,26,15
t1_s0,Resistance genes,mutations,4,26,15
t1_s0,Resistance genes,second-line drugs,3,20,15
t1_s0,Resistance genes,aminoglycosides,3,20,15
t1_s0,Resistance genes,inha,3,20,15
t1_s0,Resistance genes,genetic mutation,3,20,15
t1_s0,Resistance genes,drugs,3,20,15
t1_s0,Resistance genes,embb,3,20,15
t1_s0,Resistance genes,novel mutation,3,20,15
t1_s0,Resistance genes,docking,3,20,15
t1_s0,Resistance genes,fluoroquinolones,2,13,15
t1_s2,Plant extracts,antimycobacterial,12,100,12
t1_s2,Plant extracts,activity,7,58,12
t1_s2,Plant extracts,anti-tb,3,25,12
t1_s2,Plant extracts,multidrug-resistant,3,25,12
t1_s2,Plant extracts,molecular docking,3,25,12
t1_s2,Plant extracts,docking,3,25,12
t1_s2,Plant extracts,antibacterial activity,2,16,12
t1_s2,Plant extracts,interaction energy,2,16,12
t1_s2,Plant extracts,pharmacophore,2,16,12
t1_s2,Plant extracts,mass-spectrometry,2,16,12
t1_s2,Plant extracts,sensitive tb,2,16,12
t1_s2,Plant extracts,molecular modeling,2,16,12
t1_s2,Plant extracts,mexican medicinal plants,2,16,12
t1_s2,Plant extracts,proteomics,2,16,12
t1_s2,Plant extracts,pyrazolines,2,16,12
t1_s2,Plant extracts,benzoxazole,2,16,12
t1_s2,Plant extracts,fel,1,8,12
t1_s2,Plant extracts,mammalian cell toxicity,1,8,12
t1_s2,Plant extracts,hyperforin,1,8,12
t1_s2,Plant extracts,natural alkaloid,1,8,12
t1_s5,2nd line regimens,resistance,8,100,8
t1_s5,2nd line regimens,drug-resistance,6,75,8
t1_s5,2nd line regimens,xdr-tb,6,75,8
t1_s5,2nd line regimens,multidrug-resistant,6,75,8
t1_s5,2nd line regimens,drugs,5,62,8
t1_s5,2nd line regimens,fluoroquinolones,4,50,8
t1_s5,2nd line regimens,linezolid,4,50,8
t1_s5,2nd line regimens,efflux pump,4,50,8
t1_s5,2nd line regimens,second-line drugs,3,37,8
t1_s5,2nd line regimens,proteomics,3,37,8
t1_s5,2nd line regimens,inhibitors,3,37,8
t1_s5,2nd line regimens,moxifloxacin,3,37,8
t1_s5,2nd line regimens,mycobacteria,3,37,8
t1_s5,2nd line regimens,rifampicin,3,37,8
t1_s5,2nd line regimens,synergy,3,37,8
t1_s5,2nd line regimens,anti-tb,3,37,8
t1_s5,2nd line regimens,lc-ms/ms,2,25,8
t1_s5,2nd line regimens,isoniazid,2,25,8
t1_s5,2nd line regimens,antimycobacterial,2,25,8
t1_s5,2nd line regimens,mass-spectrometry,2,25,8
t1_s6,New compounds,activity,33,100,33
t1_s6,New compounds,anti-tb,32,96,33
t1_s6,New compounds,antimycobacterial,30,90,33
t1_s6,New compounds,antitubercular agents,6,18,33
t1_s6,New compounds,xdr-tb,5,15,33
t1_s6,New compounds,pharmacophore,4,12,33
t1_s6,New compounds,pyrazolines,4,12,33
t1_s6,New compounds,"1,3-dipolar cycloaddition",4,12,33
t1_s6,New compounds,molecular docking,4,12,33
t1_s6,New compounds,structure-activity relationship,4,12,33
t1_s6,New compounds,drug-resistance,3,9,33
t1_s6,New compounds,h37rv,3,9,33
t1_s6,New compounds,isoniazid,3,9,33
t1_s6,New compounds,dna gyrase,3,9,33
t1_s6,New compounds,azomethine ylide,3,9,33
t1_s6,New compounds,inhibitors,3,9,33
t1_s6,New compounds,drugs,3,9,33
t1_s6,New compounds,isatin,3,9,33
t1_s6,New compounds,antibacterial activity,2,6,33
t1_s6,New compounds,inha,2,6,33
t5_s2,Treatment regimens,treatment outcomes,21,100,21
t5_s2,Treatment regimens,multidrug-resistant,21,100,21
t5_s2,Treatment regimens,outcomes,16,76,21
t5_s2,Treatment regimens,xdr-tb,15,71,21
t5_s2,Treatment regimens,treatment,14,66,21
t5_s2,Treatment regimens,drug-resistance,12,57,21
t5_s2,Treatment regimens,linezolid,10,47,21
t5_s2,Treatment regimens,hiv,9,42,21
t5_s2,Treatment regimens,adverse events,7,33,21
t5_s2,Treatment regimens,diabetes mellitus,6,28,21
t5_s2,Treatment regimens,dst,6,28,21
t5_s2,Treatment regimens,mortality,5,23,21
t5_s2,Treatment regimens,retreatment,5,23,21
t5_s2,Treatment regimens,drugs,4,19,21
t5_s2,Treatment regimens,resistance,4,19,21
t5_s2,Treatment regimens,drug-resistant tb,4,19,21
t5_s2,Treatment regimens,iran,3,14,21
t5_s2,Treatment regimens,adverse reactions,3,14,21
t5_s2,Treatment regimens,side effects,3,14,21
t5_s2,Treatment regimens,standardized regimens,3,14,21
t5_s3,Risk factors,treatment outcomes,13,100,13
t5_s3,Risk factors,hiv,12,92,13
t5_s3,Risk factors,risk-factors,9,69,13
t5_s3,Risk factors,multidrug-resistant,9,69,13
t5_s3,Risk factors,mortality,8,61,13
t5_s3,Risk factors,drug-resistance,8,61,13
t5_s3,Risk factors,xdr-tb,7,53,13
t5_s3,Risk factors,outcomes,5,38,13
t5_s3,Risk factors,south-africa,4,30,13
t5_s3,Risk factors,drug-resistant tb,4,30,13
t5_s3,Risk factors,survival,4,30,13
t5_s3,Risk factors,patient,3,23,13
t5_s3,Risk factors,death,3,23,13
t5_s3,Risk factors,human-immunodeficiency-virus,3,23,13
t5_s3,Risk factors,antiretroviral therapy,3,23,13
t5_s3,Risk factors,fluoroquinolones,2,15,13
t5_s3,Risk factors,survival rate,2,15,13
t5_s3,Risk factors,diabetes mellitus,2,15,13
t5_s3,Risk factors,mdr,2,15,13
t5_s3,Risk factors,coinfection,2,15,13
t5_s5,Resistance prevalence,drug-resistance,14,100,14
t5_s5,Resistance prevalence,multidrug-resistant,10,71,14
t5_s5,Resistance prevalence,hiv,7,50,14
t5_s5,Resistance prevalence,thailand,5,35,14
t5_s5,Resistance prevalence,risk-factors,4,28,14
t5_s5,Resistance prevalence,prevalence,4,28,14
t5_s5,Resistance prevalence,outcomes,3,21,14
t5_s5,Resistance prevalence,china,3,21,14
t5_s5,Resistance prevalence,diabetes,3,21,14
t5_s5,Resistance prevalence,diabetes mellitus,3,21,14
t5_s5,Resistance prevalence,pulmonary tb,3,21,14
t5_s5,Resistance prevalence,dst,3,21,14
t5_s5,Resistance prevalence,russia,2,14,14
t5_s5,Resistance prevalence,drugs,2,14,14
t5_s5,Resistance prevalence,immigration,2,14,14
t5_s5,Resistance prevalence,survey,2,14,14
t5_s5,Resistance prevalence,previously-treated,2,14,14
t5_s5,Resistance prevalence,prison,2,14,14
t5_s5,Resistance prevalence,clinical outcomes,1,7,14
t5_s5,Resistance prevalence,retreatment cases,1,7,14
